STL,English,Complexity
"eventually[0,60](v_1 > 20) -> eventually[30,90](p_1 > 1000)","Whenever the velocity v1 exceeds 20 m/s within the next 60 seconds, it will lead to a scenario where pressure p1 will be greater than 1000 Pa at any point from 30 to 90 seconds from now.",non-nested
"always[100,600](x <= 10) and eventually[700,900](x < -10)","From 100 to 600 time units, signal x should not surpass 10, subsequently dropping below -10 between 700 and 900 time units.",non-nested
"eventually[0,90](p_1 > 120) and always[90,120](p_1 > 100) -> eventually[120,180](v_1 < 5)","If the pressure p1 exceeds 120 psi at any moment within the next 90 seconds, and it holds above 100 psi consistently for the subsequent 30 seconds, then there must be an occurrence where the vibration level v1 drops below 5 units within the next 60 seconds.",non-nested
"always[2,4](v_2 > 10) -> eventually[5,8](u_3 > 20)","Whenever signal v_2 is consistently above 10 between 2 to 4 seconds, it should lead to signal u_3 rising above 20 anytime from 5 to 8 seconds.",non-nested
"always[0,200](x_1<0.5) -> eventually[10,20](x_3>1.2)","Whenever signal x_1 remains below 0.5 during the first 200 time units, signal x_3 must exceed 1.2 at least once within the following 10 to 20 time units.",non-nested
"always[10,20](d > 5) and always[20,50](d < 10)","The self-driving car should maintain a distance from the vehicle ahead greater than 5 meters during the initial 10 to 20 seconds of travel, and then it must not exceed a following distance of 10 meters for the next 30 seconds.",non-nested
"eventually[2,6](x_5 > 10) -> always[5,10](x_3 < 5)","Whenever signal x5 exceeds 10 between 2 to 6 seconds, it must result in signal x3 staying below 5 continuously from 5 to 10 seconds.",non-nested
"always[0,200]((always[0,10](v1 > 15)) -> always[0,30](i1 <= 5))","Within the next 200 seconds, whenever voltage v1 exceeds 15 volts for at least 10 seconds, current i1 should not surpass 5 amperes for the following 30 seconds.",nested
"eventually[0,2](x_1 > 3) and always[2,5](x_1 > 2)","The signal x_1 exceeds 3 at least once within the first 2 seconds, and then always exceeds 2 between 2 and 5 seconds.",non-nested
"eventually[480,540](v > 60 and in_school_zone) -> always[0,300](v < 40)","If the speed of the autonomous vehicle exceeds 60 km/h while within a school zone at any time between 8:00 AM and 9:00 AM, then it must reduce its speed to below 40 km/h for at least 5 consecutive minutes immediately following this event.",non-nested
"always[0,5](speed <= 2) and always(voltage > 24)",Rover speed must not exceed 2 m/s during the first 5 seconds and the battery voltage should remain above 24 volts during the entire mission.,non-nested
"(y > 0.8) until[10,20] (z < 0.3)",Signal y stays above 0.8 until signal z falls below 0.3 between 10 and 20 seconds.,non-nested
"always(p1 > 30 -> eventually[2,5](v1 > 5))","Whenever pressure p1 rises above 30 psi, then subsequently within 2 to 5 seconds, vibration v1 should exceed 5 units.",nested
"eventually[1,4](x_1 < -2) -> always[2,5](x_3 > 8)","Signal x_3 must exceed 8 during the interval [2,5] whenever signal x_1 is below -2 at any point between times 1 and 4.",non-nested
"always(always[0,10](((10 <= r1) and (r1 <= 15))) -> eventually[0,5](s1 < 5))","Every time the robot's arm position, represented by the signal r1, remains within the range 10 to 15 for more than 10 seconds, it must immediately start reducing speed indicated by signal s1 falling below 5 within the next 5 seconds.",non-nested
"always[0,10](sensor_distance < 2) -> eventually[0,15](vehicle_speed == 0)","If the autonomous vehicle's proximity sensor detects an object closer than 2 meters for at least 10 continuous seconds, the vehicle must come to a complete stop within the next 15 seconds.",non-nested
"eventually[0,2](x_object < 2) -> eventually[0,1](x_speed < 10)",The autonomous vehicle should detect an object within 2 meters and slow down to a speed of less than 10 km/h within 1 second after detection.,non-nested
"always[0,10](p > 0.9) -> always[20,30](q <= 0.3)","If signal p remains above 0.9 for at least the next 10 seconds, then signal q must not exceed 0.3 anytime between 20 to 30 seconds from now.",non-nested
"always[0,20](x1 <= 2.5 or eventually[0,1](x3 < 1))","Within the first 20 time units, the velocity of robot x1 never exceeds 2.5 units unless the proximity sensor x3 detects an obstacle within 1 unit distance.",nested
"always[0,60](v > 100) -> eventually[0,180](v <= 80)","If the autonomous vehicle's speed exceeds 100 km/h while in a highway zone for at least 60 continuous seconds, then it must reduce its speed to 80 km/h or less within the next 180 seconds.",non-nested
"eventually[0,60](always[0,10](p > 200)) -> always[60,180](always[0,20](v <= 50))","If pressure p remains above 200 units for at least 10 seconds within the next minute, then vibration level v should not exceed 50 units for any 20-second interval in the following two minutes.",nested
"eventually[0,50](p1 > 100) -> eventually[0,100](v1 < 20)","Whenever the pressure p1 exceeds 100 units during the first 50 time units, it must be followed by vibration v1 decreasing below 20 units within the next 100 time units.",non-nested
"eventually[0,20](always[0,5](p_1 > 80) and eventually[0,3](h_1 > 60)) -> always[0,12](t_1 >= 50)","If the pressure p1 exceeds 80 psi for at least 5 seconds within a 20-second period, and simultaneously, the humidity h1 surpasses 60% for any 3-second window, then it guarantees that the temperature t1 will not fall below 50 degrees for a continuous 12-second interval following this period.",nested
"always[0,1800](always[0,10](v >= 20))",The autonomous vehicle's speed must not drop below 20 km/h for any 10 second period during the first 30 minutes of operation.,nested
"always[10,50](s1 > 50) -> eventually[15,60](v1 < 25)","In a robotic monitoring system, if the pressure sensor s1 stays above 50 units for the entire duration of 10-50 seconds, then the vibration sensor v1 must detect values under 25 units anytime between 15 and 60 seconds.",non-nested
"always[2,5](temperature > 20) and always[2,5](humidity <= 50)","The temperature signal must be above 20 degrees continuously from time 2 to 5, and simultaneously, the humidity level should not exceed 50% during this period.",non-nested
"eventually[0,120](always[0,20](v1 > 60) and not eventually[0,20](o1)) -> eventually[0,30](v1 < 30)","If within the next 120 seconds the vehicle's speed sensor v1 detects a speed of over 60 km/h continuously for at least 20 seconds, and during this period, no obstacle detection signal o1 is triggered, then the vehicle should reduce its speed below 30 km/h within the following 30 seconds.",nested
"always[0,15](s_1 < 25) and eventually[0,20](s_2 > 50) -> always[0,10](p >= 10)","Between the time interval from 0 to 15, if the speed s_1 remains consistently below 25 m/s and subsequently, there is a time point where the speed s_2 exceeds 50 m/s before 20 seconds, then the variable p should be at least 10 for the entirety of the first 10 seconds.",non-nested
"eventually[0,60](always[0,15](distance_sensor < 2)) -> eventually[0,30](speed < 20)","If the autonomous vehicle's proximity sensor detects an obstacle closer than 2 meters continuously for at least 15 seconds within the next minute, the vehicle must reduce its speed to less than 20 km/h within the following 30 seconds.",nested
"always[8,9](x_distance >= 4)",The autonomous vehicle should maintain a safe distance of at least 4 meters from any vehicle ahead in zones designated as school areas between 8 AM and 9 AM.,non-nested
always(not (distance < safe_distance)),The autonomous vehicle must maintain a safe distance from other vehicles at all times during operation.,non-nested
"always[100,1200](x > 5 and z <= -1)","Between 100 and 1200 time units, signal x must continuously remain above 5. Concurrently, signal z must not exceed -1 throughout this interval.",non-nested
"always[0,4](t1 < 23) -> eventually[2,6](h1 > 80)","Whenever the temperature (signal t1) remains below 23 degrees from time 0 to 4, we can expect humidity (signal h1) to rise above 80% at some point between time 2 and 6.",non-nested
"always(d < 5 -> eventually[0,3](v < 10))","Whenever the autonomous vehicle detects an obstacle closer than 5 meters, it must reduce its speed to less than 10 km/h within the next 3 seconds.",non-nested
"eventually[0,30](x1 > 10) -> always[40,50](x2 < -5)","Whenever signal x1 exceeds 10 anytime between 0 and 30 seconds, it must be followed by signal x2 dropping below -5 consistently between 40 and 50 seconds.",non-nested
"always[0,15](torque > 20) and eventually[0,10](speed > 500) -> always[0,30](fault_signal == 0)","If robot arm torque exceeds 20 units continuously for 15 seconds and its operational speed remains above 500 RPM for 10 seconds during this period, then there should be no electrical fault signal for at least the next 30 seconds.",non-nested
"always[0,100](d_1 < 50) and always[0,100](s_1 <= 20)","In scenarios where the robot navigation system ensures the robot's distance to the obstacle `d_1` remains less than 50 units from 0 to 100 time units, it simultaneously requires that the robot's speed `s_1` does not exceed 20 units anywhere in the same interval.",non-nested
"always[0,120](v1 <= 100) and always[120,180](a1 < 5)","The velocity v1 should never exceed 100 units during the initial 120 seconds, and subsequently, the acceleration a1 must always be less than 5 units from time 120 to 180 seconds.",non-nested
"always(distance_obstacle < 2 -> eventually[0,20](speed < 10))","When the autonomous vehicle detects an obstacle distance less than 2 meters, it must reduce speed to less than 10 km/h within the next 20 seconds.",non-nested
"eventually[0,60](always[0,5](p_1 < 10)) -> (eventually[60,90](p_1 > 20) -> eventually[90,100](v_1 == 1))","If the pressure p_1 stays below 10 psi for any 5 minutes within the first hour and then exceeds 20 psi within the next 30 minutes, then the valve v_1 must open at some point within 10 minutes afterward.",nested
