STL,English,Complexity
"always[0,10](r1 < 5) -> eventually[0,30](always[0,5](a1 == 1))","If robot sensor r1 detects an object closer than 5cm continuously for at least 10 seconds, then within the following 30 seconds, the actuator a1 must activate for at least 5 seconds.",nested
"always[0,4](a1 > 10) -> (eventually[3,6](b1 > 5) or always[1,5](c1 < 8))","If robot arm's position sensor a1[t] remains above 10 from time 0 to 4, then either the load sensor b1[t] must detect a weight above 5 within the time range [3,6] or the stability sensor c1[t] must remain under the threshold of 8 throughout [1,5].",non-nested
"always[0,100]((x_3<=0.5) -> eventually[2,4](x_4<0.3))","Within the first 100 units of operation, the robot must consistently ensure that if signal x_3 does not exceed 0.5, then within 2 to 4 units, signal x_4 must be below 0.3.",non-nested
"always[50,150](always[0,10](p_1 > 100) -> eventually[0,25](t_2 > 200))","Whenever the robotic arm's pressure sensor p1 exceeds 100 units continuously for at least 10 seconds between 50 and 150 seconds, there should be an instance where temperature sensor t2 exceeds 200 degrees within the next 25 seconds.",nested
"always[2,12](x_1 > 3)","The robot's arm position signal x_1 remains steady above 3 units throughout the span of 10 seconds, starting at 2 seconds up to 12 seconds.",non-nested
"always[0,60](v <= 5) and eventually[0,60](x < 2)","The robot's velocity v must not exceed 5 m/s for the entire duration of the first 60 seconds, and simultaneously, its proximity sensor signal x must detect an object closer than 2 meters at least once within the same duration.",non-nested
"eventually[0,120](always[0,10](f_1 > 50) and always[0,10](v_1 < 25)) -> always[0,30](t_1 <= 100)","Within 120 seconds, if the robotic arm's force sensor f1 exceeds 50 units for at least 10 consecutive seconds, while simultaneously, the vibration sensor v1 remains under 25 units, then, for the next 30 seconds, the temperature sensor t1 must not exceed 100 degrees.",nested
"always[0,15](x_1 <= 5) and eventually[5,10](x_2 < 2)","The robot's grip force x_1 must never exceed 5 units during the lifting task from second 0 to 15, and concurrently, the robot's proximity sensor x_2 must detect an object closer than 2 units at least once between seconds 5 and 10.",non-nested
"eventually[0,10](torque > 30 and always[0,10](pressure < 25)) -> always[10,30](angle == 45)","Whenever a robotic arm's torque exceeds 30Nm within the first 10 seconds, and the grip pressure simultaneously remains under 25 psi throughout this period, then immediately following this, the robotic arm's position must stabilize at angle 45 degrees for at least the next 20 seconds.",nested
"always[0,10](s1 > 3) -> eventually[0,20](always[0,5](t1 > 2))","As a robot navigates, if the proximity sensor's signal s1 stays above 3 units for the initial 10 seconds, then there must be a period of at least 5 seconds within the next 20 seconds where the tilt sensor's signal t1 exceeds 2 units.",nested
"always[0,60](x_1 < 50) -> not eventually[0,60](x_2 > 120)",The robotic arm's motor temperature x1 remains consistently below 50 degrees Celsius throughout the first minute to ensure it doesn't enter a high speed mode x2 during that time.,non-nested
"always[0,5](s1 > 10) -> eventually[5,15](s2 < 5)","If the robot's arm position sensor s1 continually indicates a position greater than 10 units for the entire duration of the first 5 seconds, then it must be that the grip strength sensor s2 will detect a force less than 5 units at any time within the subsequent 10 seconds.",non-nested
"eventually[70,100](always[0,30](x_speed<25)) and always[100,500](x_speed<=50)","In the context of robotics, ensure that the speed of robot x (signal x_speed) does not exceed 50 units from time 100 to 500, and prior to this period, it must have been below 25 units for at least 30 continuous units of time.",non-nested
"eventually[0,1](x > 0.5) -> always[0,2](x < 0.3)","In a robotics system, ensure that the proximity sensor value remains below 0.3 for at least 2 continuous time units after it has exceeded 0.5 within the next 1 time unit.",non-nested
"always[0,10](x_1 < 2) -> (eventually[10,20](x_2 < 5) or eventually[10,20](x_3 > 500))","If the robot's proximity sensor x1 detects an object closer than 2 meters continuously from time 0 to 10, then either the speed sensor x2 must indicate less than 5 m/s, or the light sensor x3 must detect brightness above 500 lux within the next 10 to 20 seconds.",non-nested
"always[0,5](s_1 < 2) and always[0,5](b_1 > 30) -> eventually[0,10](speed_1 < 1)","Whenever the robot encounters an obstacle, if the proximity sensor (s_1) detects an obstacle within 2 meters consistently for over 5 seconds, and at the same time, the battery level (b_1) remains above 30% during that period, then the robot must slow down its speed (speed_1) to below 1 m/s within the next 10 seconds.",non-nested
"always[2,6](a1 > 30) -> (eventually[3,7](a2 > 0) or always[5,9](m1 < 50))","If robot sensor a1 records a temperature above 30 degrees consistently in the interval [2,6], then either sensor a2 must detect an obstacle within the range [3,7] or the motor temperature m1 must stay below 50 degrees throughout the interval [5,9].",non-nested
"always[0,10](theta_1 > 30 and theta_2 <= 45) -> always[10,30](theta_3 < 25)","Whenever robot joint angle θ_1 maintains above 30 degrees from 0 to 10 seconds and simultaneously, θ_2 does not exceed 45 degrees, then within the subsequent 20 seconds, θ_3 should consistently be less than 25 degrees.",non-nested
"always[0,10](x_7 < 50) -> always[10,25](y_7 >= 30)","As long as the robot's motor temperature x_7 stays below 50 degrees during the first 10 minutes, the battery level y_7 should not drop below 30% within the next 15 minutes.",non-nested
"eventually[0,2](s1 > 10) -> always[2,5](s2 >= 5)","In a robotic navigation task, if sensor s1 exceeds a value of 10 within time interval [0,2], then sensor s2 must not drop below 5 in the subsequent interval [2,5].",non-nested
"always[0,15](s_1 > 0.5) and (eventually[10,20](s_1 < 0.2) -> always[10,20](a_1 >= -0.3))","The robot's speed s_1 stays above 0.5 units from the start until time unit 15, but if it drops below 0.2 units any time between 10 and 20 time units, the acceleration a_1 must not fall below -0.3 units during the same interval.",non-nested
"always[0,15](v <= 5) and eventually[10,20](d < 2)","The robot's velocity v[t] should not exceed 5 units from start until 15 seconds, and must detect an obstacle by distance d[t] falling below 2 units at least once during the interval 10 to 20 seconds.",non-nested
"always(x_1 > 3) until[0,10] (x_2 < 0.5)",The robot's speed sensor signal x_1 remains over 3 m/s unless the proximity sensor x_2 detects an obstacle closer than 0.5 meters within the next 10 seconds.,non-nested
"(always[0,5](v1 > 10) or always[0,5](j1 > 300)) -> not eventually[10,20](a1 > 70)","If the velocity of robot v1 stays above 10 units from 0 to 5 seconds or the rotation speed of joint j1 surpasses 300 degrees per second during the same interval, then the robot’s arm a1 should not exceed a 70-degree rotation any time between 10 and 20 seconds.",non-nested
"always[0,30](p_1 < 10) -> always[0,30](m_1 > 500)","If the robot's proximity sensor p_1 reads less than 10 units for the initial 30 seconds, then the motor speed m_1 should always exceed 500 RPM during the same period.",non-nested
"always[2,10](speed > 1.5)",The robot's speed must exceed 1.5 m/s continuously between 2 and 10 seconds.,non-nested
"always(p < 0.3) until[10,20](q > 0.8)",The robot must ensure that signal p remains below 0.3 until signal q exceeds 0.8 anytime between 10 and 20 seconds from now.,non-nested
"always[0,1000](t_deg <= 100)","In a robot safety system, ensure the temperature sensor reading, labelled t_deg, does not exceed 100 degrees, continuously from the start of operation at t=0 until t=1000.",non-nested
"always[10,50](v > 5) -> eventually[60,100](p >= 100)","If the velocity v of a robot is above 5 units throughout the interval [10, 50], then the position p must eventually reach at least 100 units within the interval [60, 100].",non-nested
"always[0,200](x_3 < -10) -> eventually[10,15](a_5 > 0)","In the first 200 time units, if sensor x_3 consistently measures below -10, then within 10 to 15 time units, actuator a_5 must activate.",non-nested
"always[0,10](battery_level < 20) -> eventually[10,15](at_charging_station == 1)","If the robot's battery level remains below 20% for the first 10 minutes, it must return to the charging station within the next 5 minutes.",non-nested
"always[0,200](always[0,10](torque > 40) -> eventually[0,50](always[0,5](speed < 5)))","Throughout a 200-second interval, if robotic arm torque exceeds 40 Newton-meters continuously for at least 10 seconds, it must be followed within 50 seconds by the arm reaching a speed less than 5 meters per second for at least 5 seconds.",nested
"always[10,50](x_1<0.5 -> eventually[1,2](robot_stop==1))","In a robotics context, if at any time between 10 and 50 units, the distance sensor signal x_1 drops below 0.5, the robot must stop within 1 to 2 units later.",nested
"always[0,600](x > 90) and always[0,600](t <= 30) -> always[600,1500](h >= 50)","When the robot's battery level x remains above 90% for the first 10 minutes and the temperature sensor t does not exceed 30 degrees Celsius, it is expected that the humidity sensor h will not drop below 50% continuously for the next 15 minutes.",non-nested
"always[0,500]((z_1<=50) and (z_2>20 -> eventually[0,60](z_2<10)))","Within the first 500 time units, the robotic arm's grip pressure (signal z_1) must not exceed 50 units, and whenever signal z_2, indicating the arm's reaching speed, surpasses 20 units, it should normalize back to under 10 units within 60 seconds.",non-nested
"always[0,5](x1 > 10) <-> not eventually[2,7](x2 > 3)","The robot's sensor signal x1 remains consistently above 10 for the duration [0,5], if and only if the error signal x2 does not exceed 3 anytime between [2,7].",non-nested
"always[0,5](s1 < 10) -> eventually[0,30](always[0,15](m1 == on))","If the robot's proximity sensor s1 detects an object closer than 10 cm continuously for at least 5 seconds, then the robot's arm motor m1 should activate and remain on for 15 seconds within the next 30 seconds.",non-nested
"always[50,150](x_1<25)","Within the interval of 50 to 150 time units, robot A's sensor x_1 should consistently detect a temperature less than 25 degrees Celsius.",non-nested
"always[0,10](s1 > 2) -> eventually[2,4](a1 > 1)","In a robotics context, if the proximity sensor signal (s1) consistently surpasses the threshold of 2 between the intervals [0, 10], the robot arm must activate (signal a1 goes above 1) within the next 2 to 4 seconds.",non-nested
"always[2,6]((x_3 > 0.5) and (x_4 < 0.3))",The robot's arm signal x_3 remains above 0.5 while the mobility signal x_4 stays below 0.3 for the duration from 2 to 6 seconds.,non-nested
"always[0,200](v < 12) -> ((eventually[100,200](i > 100)) -> eventually[0,50](always[0,30](v > 14)))","When robot's battery voltage v stays below 12 volts continuously from time 0 to 200, if the current i exceeds 100 amperes anytime between 100 and 200 time units, the voltage must return to be higher than 14 volts within the next 50 time units and remain above 14 volts for at least 30 consecutive time units.",non-nested
"always[0,30](battery_level > 75) -> always[0,30](power_saving_mode == false)","As long as the robot's battery level remains over 75% during the next 30 seconds, the robot will continue operating without entering power saving mode within that period.",non-nested
"always[0,200](always[0,30](p_1 < 15) -> eventually[0,60](g_1 > 5))","In the first 200 seconds, if the robot arm's position sensor p1 remains below 15 units consistently for at least 30 seconds, then its grip strength sensor g1 must exceed 5 units at any time within the following 60 seconds.",nested
"always[0,60](ps1 > 150) -> eventually[300,600](robotic_arm_status == 0)","If pressure sensor ps1 continuously detects a value above 150 psi during the initial 60 seconds, then within 5 to 10 minutes, the robotic arm should cease operation.",non-nested
"always[100,200](x1>0.9) -> always[110,210](x2<2.5)","In a robotic navigation scenario, the robot's proximity sensor signal x1 must consistently exceed 0.9 during the interval [100,200], ensuring that signal x2, indicating motor temperature, remains below 2.5 during the entire interval [110,210].",non-nested
"always[0,10](proximity > 1.5) and eventually[12,15](proximity < 0.5)","The robot's proximity sensor value is consistently above 1.5 for the first 10 seconds, and then it must detect an obstacle less than 0.5 meters away between 12 and 15 seconds.",non-nested
"always[0,5](v <= 2.0)",The velocity v of the robot must not exceed 2.0 m/s for the first 5 seconds of operation.,non-nested
"always[0,100](v > 24) and eventually[0,20](T <= 50) -> always[100,160](v > 26)","In the scenario where robot's battery voltage v remains above 24 volts uniformly for the initial 100 seconds, and concurrently, the arm motor temperature T does not exceed 50 degrees for at least 20 seconds within this duration, it will lead to the battery voltage v exceeding 26 volts for the subsequent 60 seconds.",non-nested
"always[0,5](x_3 < 0.5)",The robot's proximity sensor x_3 maintains a reading less than 0.5 for at least 5 consecutive seconds.,non-nested
"always[0,2](v1 <= 10) and always[1,3](a1 >= -5)","The velocity signal v1 must not exceed 10 units in the interval [0,2], while at the same time the acceleration signal a1 should never drop below -5 units in the interval [1,3].",non-nested
"always[0,10](s_1 < 5) -> (eventually[0,3] (always[0,10](speed < 2)))","In a robotic navigation system, if the robot's proximity sensor (s_1) detects an obstacle closer than 5 units from time 0 to 10, the robot must slow down to a speed less than 2 m/s within the next 3 seconds and maintain this reduced speed for at least another 10 seconds.",non-nested
"always[100,500]((arm_torque <= 20) and ((arm_torque < 5) -> eventually[0,30](always[0,15](arm_torque > 10))))","In the interval [100, 500] seconds, robot arm torque must not exceed 20 units, and if it drops below 5 units, it should recover above 10 units within 30 seconds and maintain for at least 15 seconds.",non-nested
"eventually(x > 50) -> always[60,120](v <= 30 and a < 10)","Whenever the robotic arm's position x reaches beyond 50 units, ensure that within the following 60 to 120 seconds, the velocity v does not exceed 30 units, and the acceleration a remains below 10 units.",non-nested
"always[0,10](torque < 10) -> eventually[0,30](temperature > 100)","If the robot's arm torque signal stays below 10 Nm for at least 10 consecutive seconds, then within 30 seconds the engine cooling system temperature will exceed 100 degrees Celsius.",non-nested
"always[0,5](x_1 > 2) and eventually[6,10](x_2 < 1)","The robot will successfully navigate the corridor if the proximity sensor x_1 maintains a distance greater than 2 meters continuously from time 0 to 5 seconds, and at some point between 6 to 10 seconds, sensor x_2 detects an obstacle less than 1 meter away.",non-nested
"always[0,50](vb > 24) -> always[0,50](tm <= 80)","As long as the robot's battery voltage vb stays above 24 volts between seconds 0 and 50, the motor temperature tm should not exceed 80 degrees at any time in the same interval.",non-nested
"always[0,60]((always[0,10](rotation_speed > 5)) -> eventually[0,5](grip_force < 2))","During the first 60 seconds, if the robot's arm rotation speed continuously exceeds 5 degrees per second for at least 10 seconds, it must immediately reduce its grip force below 2 Newtons within 5 seconds thereafter.",nested
"always[0,10](s1 < 2) -> eventually[0,5](emergency_stop == true)","If robot's proximity sensor s1 detects an object closer than 2 meters continuously for 10 seconds, then within the next 5 seconds, the robot should activate its emergency stop.",non-nested
"eventually[0,20](tau_3 > 15 and tau_4 > 15) -> eventually[0,10](always[0,5](voltage > 24))","Whenever both robotic arm torque τ_3 and torque τ_4 exceed 15 Nm simultaneously within the next 20 seconds, it must be followed by a phase where the battery voltage of the robot remains above 24 volts for at least 5 seconds within a subsequent 10-second interval.",nested
"always[0,20](s_1 > 100) -> eventually[0,5](o_1 == 1)","In a robotic navigation system, if sensor s1 records a distance greater than 100 units continuously for 20 seconds, it implies that the obstacle detection sensor o1 will detect an obstacle at least once within the following 5 seconds.",non-nested
"eventually[0,60](s_1 < 15) -> always[0,30](v < 5)","When the robot's proximity sensor 's1' detects an object closer than 15 units at any time within the next 60 seconds, then the robot must reduce its speed 'v' to less than 5 units/sec consistently throughout the following 30 seconds.",non-nested
"always[0,200](x1 > 10) and (eventually[0,200](x2 < 5) -> always[200,300](x1 <= 15))","In the context of a robotic arm, from 0 to 200 time units, signal x1 remains above the value of 10. If signal x2 is below 5 at any time within this period, then for the next 100 time units, the signal x1 must not exceed 15.",non-nested
"always[0,10](v > 1.5 and b > 20) -> eventually[0,5](v < 0.8)","If the robot's velocity v remains above 1.5 m/s for at least 10 seconds, and during this period the battery level remains steady at above 20%, then the robot will reduce its velocity to below 0.8 m/s within the next 5 seconds.",non-nested
"always[0,4](x_3 > 5) -> eventually[5,10](x_4 > 10)","Within the first 4 seconds, the robot must detect an obstacle with sensor x_3 remaining above 5, following which it should avoid the obstacle leading to sensor x_4 rising above 10 anytime between 5 to 10 seconds.",non-nested
"always[0,60](proximity < 30) -> eventually[0,20](speed < 5)","If the robot's proximity sensor value remains below 30 units for at least 60 seconds, then the speed must reduce to less than 5 units/sec within the subsequent 20 seconds.",non-nested
"always[0,60](always[0,10](s1 > 0.8) -> eventually[5,15](always[0,20](s2 < 0.3)))","When robot sensor s1 exceeds a value of 0.8 for at least 10 continuous seconds within the first minute, it must trigger sensor s2 to remain below 0.3 for at least 20 seconds anywhere between the next 5 to 15 seconds.",nested
"always[0,20](S_1 > 5) and eventually[0,5](S_2 < 3) -> always[0,10](S_3 > 2)","If the robot's proximity sensor S_1 remains above the threshold of 5 units continuously for at least 20 seconds starting now, and during this period, sensor S_2 detects an object less than 3 units away for at least 5 seconds, then sensor S_3 must detect no object within a distance of 2 units for the subsequent 10 seconds.",non-nested
"always[0,5](x_1 < 10) -> eventually[3,7](x_2 > 100)","Whenever the robot arm's torque x_1 remains below 10 Nm throughout the interval [0,5], there must be a case where the motor temperature x_2 exceeds 100°C during the interval [3,7].",non-nested
"eventually[0,50](p > 10) -> always[0,100](p <= 15)","If the robotic arm's position signal p exceeds 10 units at any point between 0 and 50 time units, it must not exceed 15 units during the following 100 time units.",non-nested
"always[0,10](proximity_sensor < 1) -> eventually[0,5](motor_speed == 0)","If the robot's proximity sensor detects an object less than 1 meter away continuously for 10 seconds, then the robot must stop all movements within the next 5 seconds.",non-nested
"always[0,10](x1 < 2) -> eventually[12,15](x2 == true)","The robot's proximity sensor x1 must detect an object within 2 units distance continuously from 0 to 10 seconds, which should lead to the activation of alarm signal x2 becoming true sometime between 12 and 15 seconds.",non-nested
"always[500,1000]((x1 < 5) and (x2 > 25))","From time 500 to 1000, the robot's distance sensor x1 must detect an object at a range less than 5 meters continuously, while simultaneously the temperature sensor x2 must read above 25 degrees Celsius.",non-nested
"eventually[0,20](reach > 5) -> always[20,35](torque < 200)","If the robotic arm's reach exceeds 5 units at any time during the first 20 seconds, the torque should stay below 200 Newton-meters for the subsequent 15 seconds.",non-nested
"always[2,5](x1 > 4) and always[2,5](x2 < -1)","The robot's movement parameter x1 consistently exceeds the threshold 4 for a period between 2 and 5 seconds, while the sensory input x2 remains below the safety limit -1 for the same duration.",non-nested
"always[0,300](v_1 > 24) -> always[0,300](d_1 <= 100)","As long as the robot's battery voltage v_1 stays above 24 volts, it is guaranteed that the proximity sensor reading d_1 will not exceed 100 cm within the next 5 minutes.",non-nested
"always[10,20]((x_3 > 0.9) -> always[10,20](x_4 >= 0.3))","In robotics, whenever the signal x_3 rises above 0.9 at any time between 10 to 20 units, ensure that the signal x_4 must not decrease below 0.3 during the same interval.",non-nested
"always[2,8](x_1 < 2) -> x_2 == 1","In a range of [2, 8] seconds, robot sensor x1 must detect an obstacle within 2 meters continuously, which will cause robot system x2 to activate its emergency stop mechanism instantly if x1 is true.",non-nested
"always[0,50](x1 >= 30) and eventually[0,50](x1 > 45)","The robot's temperature (signal x1) must not drop below 30 degrees Celsius consistently for the first 50 time units, but it must exceed 45 degrees Celsius at least once within the same interval.",non-nested
"always[2,5](x1 < 2) and eventually[2,5](x2 > 300)","In the context of robotics, the robot's proximity sensor (x1) must detect an object closer than 2 units consistently throughout the period from time 2 to time 5, which should coincide with the robot’s temperature sensor (x2) recording a value above 300 units at least once during the same interval.",non-nested
"always[0,120] ((x_1 < 50) until[0,120] (position == b))",The robotic arm's grip strength x_1 remains below 50 units while it rotates from position a to b within the first 120 seconds.,non-nested
"always[0,500](abs(x) <= 45) and always[400,500](abs(x) <= 30)","Within the first 500 time units, the robot arm's position must not exceed a rotation of 45 degrees, and consistently maintain within 30 degrees during the last 100 units of this period.",non-nested
"always[0,3600](battery_level > 25) -> eventually[3600,7200](motor_temperature > 70)","If a robot's battery level remains above 25% for the entire duration of its first hour of operation, then there will be at least one moment during the next two hours where the temperature of its motor exceeds 70 degrees Celsius.",non-nested
"always[2,6](x1 > 3.0) -> eventually[4,7](x2 > 1.5)","The robot's navigation system maintains a speed value (signal x1) consistently above 3.0 from time 2 to time 6, implying that the obstacle detection system (signal x2) must detect an obstacle (i.e., go above a value of 1.5) at least once during the interval from time 4 to time 7.",non-nested
"always[0,200]((x_1>5) -> eventually[2,4](x_3>4))","Within the first 200 time units, if the robotic arm's pressure sensor x_1 reads above 5, it must result in the activation sensor x_3 reading above 4 within the following 2 to 4 time units.",non-nested
"always[0,10](x_10 > 30) -> eventually[0,60](x_20 < 2)","Whenever robot A's battery level x_10 remains above 30% for at least 10 consecutive seconds, robot B's proximity sensor x_20 should detect an obstacle at a distance of less than 2 meters within the next 60 seconds.",non-nested
"always[0,50](x1 > 10) -> eventually[50,80](x2 > 15)","As long as the robot's navigation signal x1 stays above 10 units for the duration of the first 50 seconds, the sensor signal x2 must eventually peak above 15 units within the subsequent 30 seconds.",non-nested
"always[0,5](v > 12) -> always[0,10](temp <= 70)","As long as the robot's battery voltage v remains above 12 volts during the first 5 minutes, its processing unit's temperature temp should not exceed 70 degrees Celsius throughout the initial 10 minutes.",non-nested
"always[0,500]((x_3 > 10) -> eventually[20,40](a_1 > 15))","In a robotic system, from the beginning until 500 time units, if sensor x_3 rises above 10, then within 20 to 40 units, actuator a_1 should exceed 15.",non-nested
"eventually[0,60](x_1 > 1.5) -> eventually[0,30](x_2 < 0.5)","Whenever the robot's proximity sensor x1 exceeds 1.5 within the next 60 seconds, it must immediately follow that the motor speed x2 decreases to less than 0.5 within 30 seconds.",non-nested
"always[0,200]((x_1 > 2.0) -> eventually[1,2](x_2 > 1.5))","In the first 200 time units, whenever the robot's proximity sensor x_1 exceeds 2.0, there should be an immediate increase in the speed sensor x_2 above 1.5 within the next 1 to 2 time units.",non-nested
"always[0,30](j1 < 45 and s1 < 5) -> eventually[0,10](grip == 1)","If the robot arm's joint angle j1 stays below 45 degrees continuously for the next 30 seconds, and simultaneously, sensor s1 detects an object closer than 5 cm, the robot should activate the grip mechanism within the following 10 seconds.",non-nested
"always[0,5](x1 < 2) and eventually[5,10](x2 > 0)","The robot's proximity sensor, x1, must detect an object closer than 2 meters for the whole duration of the first 5 seconds, and subsequently the motion detector, x2, should identify movement at least once within the next 5 seconds.",non-nested
"always[0,50](x_1 < 10) -> eventually[0,50](x_2 > 5)","As long as robot sensor x1 remains below 10 within the first 50 seconds, robot actuator x2 must simultaneously accelerate above 5 units at any point during the same period.",non-nested
"eventually[0,60](always[0,10](theta > 45)) -> eventually[0,100](always[0,30](v == 0))","If the robot's arm rotation angle exceeds 45 degrees for at least 10 seconds in the next 60 seconds, then the robot must stop movement for a continuous period of 30 seconds within 100 seconds afterwards.",nested
"always[0,10](x > 3.5) until[10,20](y < 25)",A robot must maintain its distance sensor reading (x) above 3.5 until the battery level (y) drops below 25% within a time span of 10 to 20 seconds.,non-nested
"eventually[0,5](x_1 > 3.5) -> eventually[0,10](t_2 < 25)","If the robotic arm's torque signal x_1 exceeds 3.5 any time in the next 5 seconds, it should be immediately followed by a decrease in temperature signal t_2 below 25 degrees within the subsequent 10 seconds.",non-nested
"always[0,200]((always[0,20](x > 0.8) and eventually[0,20](y < 30)) -> always[0,100](z < 50))","During a 200-second period, if the robot's sensor x detects motion above threshold 0.8 continuously for at least 20 seconds, and sensor y measures temperature below 30 degrees at some point during that motion, then it can be reasonably expected that sensor z will detect humidity levels below 50% consistently in the next 100 seconds.",nested
"always[0,60](omega1 > 100) and eventually[20,40](L1 > 5) -> always[60,90](T1 <= 50)","If the robotic arm's rotation speed ω1 exceeds 100 RPM continuously from the start until 60 seconds, and the load sensor reading L1 is above 5 kg at least once between 20 and 40 seconds, then the temperature sensor T1 must not exceed 50 degrees Celsius at all times in the following 30 seconds.",non-nested
"always[0,600] (x_pos <= 20 and f_grip > 5)","From the start until 10 minutes, the robot's arm position, x_pos, must not exceed 20 units while the gripping force, f_grip, remains above 5 units simultaneously.",non-nested
"always[0,60](abs(p_1 - target_position) <= 5) and always[0,60](g_1 >= 3) -> always[60,90](s_1 >= 25)","If robot arm position p_1 remains within 5 units of the target position for at least 60 seconds starting from now, and if the grip strength g_1 does not fall below 3 units during this period, then pressure sensor s_1 must detect at least 25 units for the duration of the next 30 seconds.",non-nested
"eventually[0,50](v > 100) -> always[0,30](p < 5)","If the robot's speed v exceeds 100 units at least once in the next 50 seconds, then the proximity sensor p must detect an object closer than 5 units continuously for the following 30 seconds.",non-nested
"eventually[0,60](always[0,5](s1 < 10)) -> eventually[0,30](emergency_stop == true)","If the robot's proximity sensor s1 detects an object closer than 10cm continuously for at least 5 seconds within the next minute, then the robot must activate the emergency stop within the following 30 seconds.",nested
"always[0,2](s_1 > 300) -> eventually[0,3](p_1 > 45)","The robotic arm motor speed s_1 remains above 300 RPM from the start until 2 seconds, ensuring the arm's position p_1 surpasses 45 degrees after at most 3 seconds.",non-nested
"always[0,120](abs(x_3 - target) <= 10) -> (eventually[0,30](v_2 > 5) -> always[0,20](p_1 > 300))","As long as the robot's arm position sensor x_3 remains within 10 units of its target for the first 120 seconds, if the velocity v_2 increases and exceeds 5 units within the next 30 seconds, the robot's gripper pressure p_1 must consistently exceed 300 psi for the succeeding 20 seconds.",non-nested
"always[0,5](a > 10) -> always[5,8](b <= 20)","Whenever robot sensor a maintains a value above 10 during the first 5 seconds, it should ensure that sensor b does not exceed 20 for the following 3 seconds.",non-nested
"always[2,8](p_r > 10 and t_r <= 100) -> eventually[10,20](v_r < 20)","If the robot's proximity sensor measurement p_r stays above 10 units for the entire duration from 2 to 8 seconds and the temperature sensor t_r does not exceed 100 degrees during this interval, then there must be a decrease in battery voltage v_r below 20 volts sometime between 10 and 20 seconds.",non-nested
"always[0,30](x_1 < 0.5) -> eventually[0,60](x_2 > 0.8)","Whenever the robot's proximity sensor x_1 detects an object closer than 0.5 meters for at least 30 consecutive seconds, then within the following 60 seconds, the robot must issue a warning alert via signal x_2.",non-nested
"eventually[0,5](x_3 == 45) and not always[0,5](x_3 == 45) -> eventually[6,10](x_4 > 30)","If the robot's arm x_3 reaches an altitude of 45 degrees within 5 seconds but does not maintain that position, then expect the arm's speed x_4 to exceed 30 units between 6 and 10 seconds afterward.",non-nested
"always[10,20](x1 < 2.5) -> always[20,30](x1 < 3)","In a robotic operation, if the sensor value x1 stays below 2.5 for the entire duration between 10 and 20 seconds, it must continue to stay below 3 for the following 10 seconds.",non-nested
"always[0,10](abs(x_3 - last_value) <= 2) -> eventually[15,20](p_3 > 5)","Whenever the robot's arm position x_3 maintains stability within +/- 2 units during [0,10] seconds, there must be a subsequent period between [15,20] seconds where the robot's grip pressure p_3 exceeds 5 units.",non-nested
"always[2,5](x_1 >= 0 and x_1 <= 10) <-> not eventually[1,6](x_2 > 20)","The robotic arm's joint angle signal x1 stays within the range [0, 10] throughout the interval [2,5] if and only if the torque signal x2 does not exceed 20 at any moment during the interval [1,6].",non-nested
"always[0,50](v_1 < 75) and eventually[60,120](v_1 > 100)","The robot navigational sensor v_1 must stay below 75 units for the first 50 seconds, and then must exceed 100 units at least once between 60 and 120 seconds.",non-nested
"always[0,500](always[0,30](s1 > 10) -> eventually[0,50](always[0,10](v2 <= 5)))","Within the first 500 time units in a robotic system, if the current at sensor s1 exceeds 10 mA for more than 30 continuous time units, then within 50 time units following this period, the voltage at sensor v2 must not exceed 5 volts for at least 10 consecutive time units.",nested
"always[0,100](v_b >= 24 and t_r <= 45) -> eventually[100,120](s_m > 5000)","During the initial 100 seconds, robot's battery voltage v_b must not fall below 24 volts, and simultaneously its temperature t_r should not exceed 45 degrees Celsius; if both conditions are met, subsequently the robot's motor speed s_m must exceed 5000 rpm within the next 20 seconds.",non-nested
"always(x_1 < 1.0) -> always[0,10] (x_2 <= 0.5)","Whenever the robot’s speed signal x_1 falls below 1.0, the battery level signal x_2 should not increase beyond 0.5 within the next 10 time units.",non-nested
"always[0,60]((x1 < 2) and (x2 < 2)) -> eventually[5,10](v < 1.5)","Whenever both sensors x1 and x2 detect obstacles within 2 meters for the duration between 0 and 60 seconds, robot velocity control v must adjust to stay below 1.5 m/s in the following 5 to 10 seconds.",non-nested
"always[0,2](x1 > 3) -> always[0,2](x2 <= 10)","If robot sensor x1 remains above 3 throughout [0,2], then motor speed x2 must not exceed 10 at any point during [0,2].",non-nested
"always[0,200](x_1 < 0.3 -> eventually[10,20](x_2 > 1.0))","In a robotic navigation task, from the start until 200 time units, while the proximity sensor signal x_1 remains below 0.3, it is necessary for the motion signal x_2 to exceed 1.0 within 10 to 20 time units thereafter.",nested
"eventually[10,50] (always[0,5](((10 <= p) and (p <= 20))))","The robot's position sensor, p, must fall within the range [10, 20] within 10 to 50 seconds, and once it reaches this range, it should not exit for at least 5 consecutive seconds.",non-nested
"always[0,2](x_1 > threshold1) -> (eventually[1,3](y_1 == max_y1) or always[0,4](z_1 == 0))","During the initial phase [0,2], if sensor x_1 detects movement above threshold1 consistently, then either actuator y_1 should reach its upper limit at least once within [1,3], or sensor z_1 should not detect any obstacles throughout [0,4].",non-nested
